Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8
,,,,,,,,207,6431.748125,4630.85865,11.57714663,115.7714663,2701.334213,92.617173,1273.486129,10.290797
,,,,,,,,208,6503.4513,4682.484936,11.70621234,117.0621234,2731.449546,93.64969872,1287.683357,10.40552208
,,,,,,,,209,6617.09975,4764.31182,11.91077955,119.1077955,2779.181895,95.2862364,1310.185751,10.5873596
,,,,,,,,210,6612.788225,4761.207522,11.90301881,119.0301881,2777.371055,95.22415044,1309.332069,10.58046116
,,,,,,,,211,6470.3409,4658.645448,11.64661362,116.4661362,2717.543178,93.17290896,1281.127498,10.35254544
,,,,,,,,212,6201.2966,4464.933552,11.16233388,111.6233388,2604.544572,89.29867104,1227.856727,9.92207456
,,,,,,,,213,5910.64155,4255.661916,10.63915479,106.3915479,2482.469451,85.11323832,1170.307027,9.45702648
,,,,,,,,214,5634.950125,4057.16409,10.14291023,101.4291023,2366.679053,81.1432818,1115.720125,9.0159202
,,,,,,,,215,5423.424275,3904.865478,9.762163695,97.62163695,2277.838196,78.09730956,1073.838006,8.67747884
,,,,,,,,216,5368.3019,3865.177368,9.66294342,96.6294342,2254.686798,77.30354736,1062.923776,8.58928304
,,,,,,,,217,5631.298775,4054.535118,10.1363378,101.363378,2365.145486,81.09070236,1114.997157,9.01007804
,,,,,,,,218,5978.026975,4304.179422,10.76044856,107.6044856,2510.77133,86.08358844,1183.649341,9.56484316
,,,,,,,,219,6481.7474,4666.858128,11.66714532,116.6714532,2722.333908,93.33716256,1283.385985,10.37079584
,,,,,,,,220,7096.129825,5109.213474,12.77303369,127.7303369,2980.374527,102.1842695,1405.033705,11.35380772
,,,,,,,,221,7737.86995,5571.266364,13.92816591,139.2816591,3249.905379,111.4253273,1532.09825,12.38059192
,,,,,,,,222,8252.2345,5941.60884,14.8540221,148.540221,3465.93849,118.8321768,1633.942431,13.2035752
,,,,,,,,223,8491.484225,6113.868642,15.28467161,152.8467161,3566.423375,122.2773728,1681.313877,13.58637476
,,,,,,,,224,8414.08735,6058.142892,15.14535723,151.4535723,3533.916687,121.1628578,1665.989295,13.46253976
,,,,,,,,225,8066.839175,5808.124206,14.52031052,145.2031052,3388.072454,116.1624841,1597.234157,12.90694268
,,,,,,,,226,7519.112625,5413.76109,13.53440273,135.3440273,3158.027303,108.2752218,1488.7843,12.0305802
,,,,,,,,227,6871.560225,4947.523362,12.36880841,123.6880841,2886.055295,98.95046724,1360.568925,10.99449636
